"img","x_pos","y_pos"
"P006554",0.44072527,0.015718477
"P000125",0.65091807,0.35505077
"P002875",0.6580786,0.36949217
"P000904",0.816341,0.50052446
"P000910",0.8391962,0.45969072
"P005868",0.4524735,0.20318533
"P002861",0.6100525,0.21704754
"P007919",0.42229822,0.03415467
"P002849",0.43269184,0.80952847
"P002691",0.20064044,0.61654264
"P007931",0.82590014,0.49160033
"P001398",0.47660577,0.6449294
"P000086",0.46834397,0.57942486
"P006391",0.15546705,0.6179049
"P000938",0.7982957,0.44441032
"P005698",0.66721886,0.4394165
"P004586",0.036230132,0.45585766
"P007925",0.8535428,0.48377132
"P000092",0.51197666,0.46835032
"P002685",0.68381757,0.34973374
"P000079",0.6685731,0.7756992
"P006408",0.4468774,0.7531522
"P001367",0.53835,0.5312229
"P001401",0.23560901,0.69216603
"P007070",0.28203773,0.33868298
"P003216",0.5688404,0.39305678
"P004579",0.62116414,0.59828043
"P005667",0.65099305,0.6793518
"P002108",0.1328706,0.398078
"P003202",0.46115103,0.49585775
"P005673",0.65504265,0.77661175
"P001415",0.74548686,0.506961
"P001699_001",0.6656658,0.36484793
"P007064",0.62627155,0.75417936
"P007702",0.5903766,0.76419944
"P001373",0.570375,0.6880994
"P005115",0.102815166,0.49176738
"P003564",0.6078294,0.7166939
"P000045",0.095329635,0.39522567
"P006434",0.5934948,0.43944484
"P002652",0.2921277,0.32214817
"P004223",0.6498651,0.3295536
"P005883",0.47161064,0.1694652
"P004545",0.652189,0.53328246
"P002134",0.2379606,0.27086896
"P006352",0.71871495,0.5696243
"P000723",0.18351279,0.273371
"P001429",0.6391973,0.7572804
"P006346",0.7163754,0.59604526
"P007058",0.44085622,0.8457047
"P000737",0.38351852,0.2342272
"P005897",0.022503631,0.47414887
"P004551",0.56060106,0.42562234
"P002120",0.5909269,0.73493034
"P004237",0.52201545,0.446365
"P000051",0.16845956,0.22257295
"P006420",0.5766541,0.45191205
"P001818",0.5984457,0.6484818
"P003969",0.514243,0.4352919
"P006811",0.48488638,0.609829
"P006805",0.07118831,0.46540806
"P008196",0.42304644,0.8515667
"P001824",0.46688393,0.45918936
"P000284",0.34097064,0.46872768
"P002493",0.3176458,0.51723266
"P003941",0.29003477,0.40042865
"P002487",0.5160718,0.1873324
"P000290",0.4304889,0.49086007
"P006839",0.34863526,0.6645365
"P001830",0.46564722,0.54723984
"P004790",0.5695033,0.60481876
"P005465",0.34344196,0.823822
"P003014",0.41574103,0.28666756
"P007272",0.7198807,0.3522221
"P001603",0.6779307,0.41948876
"P001165",0.7965805,0.49114478
"P007514",0.6685542,0.80024296
"P003766",0.4332422,0.29142132
"P004009",0.4417355,0.38525614
"P005317",0.3201246,0.43371004
"P002478",0.7213547,0.6650026
"P001171",0.5497364,0.44686925
"P000509",0.65418875,0.45296526
"P007266",0.73403347,0.36674342
"P008155",0.40569282,0.47171462
"P006178",0.43522993,0.3001219
"P001617",0.25500074,0.6296351
"P003000",0.36824858,0.2971768
"P000521",0.086492576,0.48227912
"P006150",0.59498984,0.39937875
"P002336",0.30863458,0.22583425
"P005459",0.61329484,0.22715496
"P003996",0.4730896,0.6475818
"P002450",0.09454542,0.4172521
"P001159",0.40440032,0.32697514
"P006636",0.34499568,0.71272576
"P000247",0.21734567,0.25820786
"P006622",0.21900208,0.17977817
"P000253",0.748494,0.51438534
"P004035",0.6180581,0.37488252
"P003982",0.6117661,0.70738274
"P002444",0.26756847,0.21419288
"P008169",0.44980755,0.419183
"P002445",0.45982796,0.28670916
"P003983",0.66504496,0.7263037
"P004034",0.44248673,0.016413597
"P000252",0.46786427,0.59806496
"P006145",0.3814199,0.28599137
"P008168",0.034803867,0.44665873
"P004752",0.6821923,0.62866247
"P002323",0.6619004,0.4636718
"P003029",0.22995666,0.112664536
"P005458",0.6063354,0.22084865
"P002337",0.2751244,0.32412246
"P006151",0.67690873,0.6883909
"P000520",0.08559131,0.48180288
"P000246",0.21032806,0.4174954
"P007529",0.5244143,0.41341835
"P006637",0.36802667,0.843647
"P001158",0.09449158,0.23327361
"P002451",0.43167126,0.5511326
"P003997",0.7917213,0.55234873
"P004020",0.4112098,0.1904289
"P007501",0.26744324,0.72053367
"P001170",0.30213594,0.6227315
"P002479",0.22222248,0.6074798
"P005316",0.24672318,0.6246223
"P004008",0.24804811,0.47762945
"P003001",0.4277772,0.29095295
"P001616",0.5786373,0.6765134
"P006179",0.11087595,0.47579664
"P008154",0.47603148,0.64682245
"P007267",0.6944457,0.3513363
"P007273",0.71389514,0.35585037
"P005302",0.73423696,0.5083139
"P007515",0.6640818,0.7922156
"P001164",0.81335837,0.46721032
"P006838",0.5869463,0.46886495
"P000291",0.48184934,0.45440802
"P002486",0.5161009,0.18723853
"P003940",0.31648552,0.46773985
"P007298",0.603404,0.2070912
"P001831",0.44138378,0.5181666
"P001825",0.5101921,0.51695985
"P002492",0.57390124,0.5534796
"P003954",0.23871933,0.33442247
"P000285",0.2587982,0.56060165
"P006804",0.29679513,0.2679265
"P008197",0.6698536,0.6269481
"P008183",0.19243024,0.441815
"P001819",0.6116613,0.63094914
"P006810",0.4146708,0.78720826
"P003968",0.5395101,0.50333714
"P002121",0.45064145,0.5427535
"P004550",0.67486453,0.5978858
"P000736",0.36326838,0.24931248
"P007059",0.6025236,0.42565352
"P001428",0.43067417,0.8423672
"P006421",0.20763467,0.6324103
"P000050",0.24409367,0.25401947
"P004236",0.38889042,0.32071367
"P005128",0.2762262,0.5848671
"P002647",0.68870735,0.38654447
"P004222",0.6787467,0.7811199
"P002653",0.5328175,0.30584973
"P006435",0.32123342,0.79712325
"P000044",0.62020934,0.54797417
"P000722",0.11061485,0.42614502
"P002135",0.37281516,0.785499
"P004544",0.6595707,0.5887021
"P005882",0.46443996,0.18488933
"P007065",0.36825594,0.20697369
"P001414",0.79645616,0.56255114
"P005672",0.67206305,0.66408366
"P003203",0.44146335,0.35605478
"P005114",0.41696486,0.5073001
